	secondary_number	cellid	side	project	station	station_type	date	CTD_number	filter	depth_original	depth_type	depth_m	bottom_depth	lat	lon	temp	salinity	DO	POC (ug/L)	PON (ug/L)	SPM (ug/L)	FlECO-AFL(mg/m^3)	chl depth	chl (ug/l)	phaeo (ug/l)	PO4(uM)	Sil(uM)	NO3(uM)	NO2(uM)	NH4(uM)	N+N (umol/L)	mass	log_name	bottle	niskin_id_meta	volume_filtered_l	transmission_pct	niskin_id_nutrients	poc_pon_ratio	poc_pon_ratio_redfield	cast_depth	delO18	sedchla_mg_m2	notes	notes2
BOX_9_35	292	BOX_9_35	6-28-17 292 SLY9.5 S SURFACE	ASGARD2017	SLY9.5	S	Jun 28 2017 17:28	169	0.2	surf	surf	3.22	16	63.22372	-165.25376	10.486	25.3155	264.22				1.5252	169_3	1.87	0.65	0.234	10.8	0	0.04	0.19	0.04		170628 SLY9.5 S surf	3	169_3	1	71.4273	169_3							
BOX_9_34	293	BOX_9_34	6-28-17 293 SLY9.5 S PYCNO	ASGARD2017	SLY9.5	S	Jun 28 2017 17:28	169	0.2	clines	bottom	10.3	16	63.22372	-165.25376	4.3375	29.758	268.643				0.4314	169_2	1.05	0.75	0.68	7.2	0.1	0.13	1.08	0.23		170628 SLY9.5 S clines	2	169_2	1	55.1684	169_2						no particle filters for SLY9.5	
BOX_9_33	294	BOX_9_33	6-28-17 294 SLY9.5 S DEEP	ASGARD2017	SLY9.5	S	Jun 28 2017 17:28	169	0.2	deep	bottom	13.96	16	63.22372	-165.25376	3.7865	30.0885	283.008				0.6502	169_1	1.06	0.83	0.949	6.9	0.2	0.18	1.45	0.38		170628 SLY9.5 S deep	1	169_1	1	35.8026	169_1							
BOX_4_80		BOX_4_80	9-3-17 W12 B15 3M	DBONCIS2017	W-12	S	Sep 03 2017 20:05	52	0.2	3	surf	2.961	56.4	72.87816667	-166.8483333	3.76315	30.20265	356.216136				0.7950		2.768	0.369	0.723	5.2	0	0.01	0.07	0.01		9_3_17_W_12_3m_B15_0.2	15	2.961_56.4	3		52_15							RNALater no
BOX_4_81		BOX_4_81	9-3-17 W12 B13 10M	DBONCIS2017	W-12	S	Sep 03 2017 20:05	52	0.2	10	mid	10.061	56.4	72.87816667	-166.8483333	3.7623	30.2038	356.2965258				0.9042		2.367	0.387								9_3_17_W_12_10m_B13_0.2	13	10.061_56.4	3		52_13							RNALater no
BOX_4_82		BOX_4_82	9-3-17 W12 B11 20M	DBONCIS2017	W-12	S	Sep 03 2017 20:05	52	0.2	20	mid	20.165	56.4	72.87816667	-166.8483333	3.80615	30.42615	356.4930342				0.5582		0.797	0.191	0.635	4.1	0	0.01	0.08	0.01		9_3_17_W_12_20m_B11_0.2	11	20.165_56.4	3		52_11							RNALater no
BOX_4_78		BOX_4_78	9-3-17 W12 B9 30M	DBONCIS2017	W-12	S	Sep 03 2017 20:05	52	0.2	30	mid	30.087	56.4	72.87816667	-166.8483333	5.46785	32.005	353.3935608				0.4587		0.739	0.24								9_3_17_W_12_30m_B9_0.2	9	30.087_56.4	2.8		52_9							RNALater no
BOX_4_83		BOX_4_83	9-3-17 W12 B7 40M	DBONCIS2017	W-12	S	Sep 03 2017 20:05	52	0.2	40	mid	40.146	56.4	72.87816667	-166.8483333	1.8506	32.10315	351.6919767				0.4490		0.621	0.273	0.976	11.1	2.9	0.03	0.64	2.93		9_3_17_W_12_40m_B7_0.2	7	40.146_56.4	2.8		52_7							RNALater no
BOX_4_84		BOX_4_84	9-3-17 W12 B5 50M	DBONCIS2017	W-12	S	Sep 03 2017 20:05	52	0.2	50	mid	50.39	56.4	72.87816667	-166.8483333	-1.0359	32.40645	274.0175655				0.4221		0.549	0.386								9_3_17_W_12_50m_B5_0.2	5	50.39_56.4	2.8		52_5							RNALater no
BOX_4_85		BOX_4_85	9-3-17 W12 B3 54M	DBONCIS2017	W-12	S	Sep 03 2017 20:05	52	0.2	54	bottom	54.217	56.4	72.87816667	-166.8483333	-0.32785	32.52615	244.5368394				0.3210				1.513	21.1	6.4	0.11	3	6.51		9_3_17_W_12_54m_B3_0.2	3	54.217_56.4	2.8		52_3							RNALater no
